Hash,Merge timestamp,Has conflict?,Chunks,TODO,FIXME,HACK,XXX,DONE,UNDONE,ASAP,REMOVE,NOTE,BUG,ISSUE,ERROR,BRKEN,GLITCH,REVIEW,WTF,FUTURE
5ca6893f583a04f43c4f61bf28329c317be5766d,2017-09-03 11:59:53 -0400,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778a03e2c6291f23f9c0442ee324175938c87771,2017-08-03 22:16:24 -0400,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1403493a864f2b968ada5bf210b725970f9bc50,2017-07-21 20:54:45 -0400,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02ea3e7a44684c499dfe60bd13839b548123b115,2017-07-10 07:38:35 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263a34d35c34bd664b940612c6bf7e659380c9b6,2017-06-25 20:04:20 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d08c04d3132b962a9c9e24b6e307acfe0bdbd3d0,2017-06-25 15:08:28 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f87c3328b57da5dfd45f834fbcdac279ffad2040,2017-06-25 13:17:38 -0400,YES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a798ec8ad57bba9808397bd71835ee383d22f50,2017-06-03 11:10:06 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3b7092099112bcce5e9249f424ae5119bd64a091,2017-05-31 22:34:49 -0400,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f511962325383cad802cc1ed4e4003700943d607,2017-05-28 13:56:46 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dee8694e3bd66a983cabe1cf27162678fa297402,2017-05-03 11:39:25 -0400,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11cf3f94f079e93491ec8bc12bfdf5f169ba6e35,2017-04-25 15:00:07 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a0284a4c67fb7395e8c571e352eb77193548df5b,2017-04-19 18:21:56 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f2846ae00f4d8a76469fdf9ea98f36bfc8da0e2,2017-04-19 17:30:39 -0400,YES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79b5ce090eb7db92be94a9bd5ad5e27aa9b1cb0c,2017-04-11 11:05:42 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f2c6e3c1904cec0d2482da2be3175c74d62fc41,2017-04-10 17:54:29 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2ec4afdb8b7a0d06ff13b50371e4e93aee61bac,2017-04-03 20:24:37 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108876b64beba6f45c13273990e784b7e824a91a,2017-03-26 14:23:28 -0400,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ead9bfc3fbe9545f87bbefde03891da03081781,2017-03-26 09:43:04 -0400,YES,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8558b4533764473bde1aa65597a006ed89886df0,2017-03-19 17:31:59 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d0c0155f14a2c2e2857f4ed00bb81a86d835c0ee,2017-03-10 15:42:38 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ee5e8e8afa05d5993908987e478adf0f3aee9a04,2017-03-01 18:29:05 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f81f9342ca28023bee1d7414b721cb95ea82851,2017-01-24 16:06:53 -0800,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541c3a69399c36157e5843472338a4f156a59879,2016-12-20 11:02:32 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c84991217d303485fb98c9e10b86002cf9bd4890,2016-12-17 12:09:49 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6444e8da29895e50ed4ae0920b2a6beee801ae5c,2016-12-15 12:55:15 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f699b610a891f44c9a91ec383922a49655611e5a,2016-12-04 21:19:47 -0500,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7654437d7b8f8c468a04d1cc8d001fc0b4474c7b,2016-12-04 09:16:15 -0500,YES,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47f1e83105f04b0905f322cce6382905bb4e0dc1,2016-12-01 09:05:34 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
